"date","weighted","close","high","low","open","volume"
"2018-01-23 24:01:00","2.446265","2.46","2.58","2.34","2.51","24071816.45"
"2018-01-24 24:01:00","2.440554","2.35","2.6","2.33","2.46","19007018.97"
"2018-01-25 24:01:00","2.29886","2.36","2.46","2.19","2.35","22986403.28"
"2018-01-26 24:01:00","2.427686","2.46","2.5","2.34","2.36","14895061.5"
"2018-01-27 24:01:00","2.503306","2.5","2.56","2.44","2.46","11621944.02"
"2018-01-28 24:01:00","2.482807","2.55","2.59","2.38","2.5","16566340.13"
"2018-01-29 24:01:00","2.384543","2.22","2.62","2.15","2.55","38126404.85"
"2018-01-30 24:01:00","2.258781","2.3","2.35","2.17","2.22","14445039.62"
"2018-01-31 24:01:00","1.927634","1.89","2.31","1.72","2.3","46430546.96"
"2018-02-01 24:02:00","1.691631","1.8","1.95","1.43","1.89","54347809.64"
"2018-02-02 24:02:00","1.889699","2.01","2.05","1.62","1.8","24729050.17"
"2018-02-03 24:02:00","1.825214","1.74","2.08","1.6","2.01","27886300.37"
"2018-02-04 24:02:00","1.51495","1.44","1.78","1.33","1.74","36567257.59"
"2018-02-05 24:02:00","1.422403","1.59","1.72","1.2","1.44","43155356.02"
"2018-02-06 24:02:00","1.709671","1.59","1.88","1.51","1.59","33694026.24"
"2018-02-07 24:02:00","1.782891","1.76","1.88","1.59","1.59","19621403.64"
"2018-02-08 24:02:00","1.837234","1.93","1.99","1.66","1.76","19983997.87"
"2018-02-09 24:02:00","1.910177","1.83","2.11","1.73","1.93","22976646.57"
"2018-02-10 24:02:00","1.702259","1.67","1.84","1.58","1.83","14509089.33"
"2018-02-11 24:02:00","1.825368","1.88","1.91","1.67","1.67","12512544.61"
"2018-02-12 24:02:00","1.784717","1.82","1.88","1.72","1.88","8560481.34"
"2018-02-13 24:02:00","1.932912","2.03","2.04","1.77","1.82","16364321.1"
"2018-02-14 24:02:00","2.067744","2.1","2.19","1.97","2.03","24671247.96"
"2018-02-15 24:02:00","2.05867","2.1","2.18","1.96","2.1","15726765.23"
"2018-02-16 24:02:00","2.164383","2.2","2.21","2.07","2.1","13707120.76"
"2018-02-17 24:02:00","2.054883","1.96","2.21","1.91","2.2","15124430.83"
"2018-02-18 24:02:00","2.081194","2.07","2.16","1.94","1.96","10182264.68"
"2018-02-19 24:02:00","1.984109","1.88","2.12","1.82","2.07","16136380.64"
"2018-02-20 24:02:00","1.786745","1.71","1.92","1.69","1.88","19209522.08"
"2018-02-21 24:02:00","1.649687","1.6","1.85","1.54","1.71","19184218.92"
"2018-02-22 24:02:00","1.702636","1.71","1.8","1.56","1.6","11963508.18"
"2018-02-23 24:02:00","1.706847","1.74","1.79","1.62","1.71","11249252.74"
"2018-02-24 24:02:00","1.849639","1.79","1.96","1.71","1.74","24302805.53"
"2018-02-25 24:02:00","1.8355","1.85","1.91","1.74","1.79","12017374.42"
"2018-02-26 24:02:00","1.951817","1.96","2.09","1.79","1.85","20337023.85"
"2018-02-27 24:02:00","1.926315","1.85","2.02","1.82","1.96","13272687.76"
"2018-02-28 24:02:00","1.959676","1.97","2.02","1.82","1.85","12318435.96"
"2018-03-01 24:03:00","1.926505","1.92","2.02","1.85","1.97","7773573.48"
"2018-03-02 24:03:00","1.889205","1.86","1.97","1.84","1.92","7189078.39"
"2018-03-03 24:03:00","1.86945","1.89","1.92","1.81","1.86","7419008.41"
"2018-03-04 24:03:00","1.870985","1.86","1.9","1.84","1.89","5706428.71"
"2018-03-05 24:03:00","1.723523","1.68","1.9","1.61","1.86","21157543.96"
"2018-03-06 24:03:00","1.523143","1.53","1.72","1.35","1.68","30341844.21"
"2018-03-07 24:03:00","1.444587","1.37","1.54","1.35","1.53","13203611.14"
"2018-03-08 24:03:00","1.272241","1.38","1.4","1.14","1.37","24931470.82"
"2018-03-09 24:03:00","1.380359","1.29","1.48","1.27","1.38","13439475.76"
"2018-03-10 24:03:00","1.326862","1.37","1.44","1.23","1.29","12488044.7"
"2018-03-11 24:03:00","1.335205","1.33","1.42","1.26","1.37","9760650.79"
"2018-03-12 24:03:00","1.308501","1.3","1.35","1.27","1.33","4676229.34"
"2018-03-13 24:03:00","1.164997","1.11","1.32","1.09","1.3","13038696.77"
"2018-03-14 24:03:00","1.081179","1.09","1.15","1.03","1.11","14361572.61"
"2018-03-15 24:03:00","1.096756","1.09","1.15","1.02","1.09","8151841.48"
"2018-03-16 24:03:00","1.106513","1.13","1.15","1.06","1.09","10969144.33"
"2018-03-17 24:03:00","1.170084","1.23","1.31","1.05","1.13","34018899.95"
"2018-03-18 24:03:00","1.261546","1.32","1.34","1.18","1.23","17802560.49"
"2018-03-19 24:03:00","1.413825","1.44","1.53","1.28","1.32","21867894.12"
"2018-03-20 24:03:00","1.40818","1.37","1.5","1.34","1.44","15743742.1"
"2018-03-21 24:03:00","1.319234","1.32","1.42","1.26","1.37","9091837.53"
"2018-03-22 24:03:00","1.287763","1.36","1.36","1.24","1.32","7840630.68"
"2018-03-23 24:03:00","1.36724","1.32","1.42","1.31","1.36","7237483.49"
"2018-03-24 24:03:00","1.316159","1.32","1.37","1.26","1.32","6089384.96"
"2018-03-26 01:03:00","1.231528","1.23","1.33","1.18","1.32","9154908.64"
"2018-03-27 01:03:00","1.189719","1.17","1.24","1.14","1.23","7488226.54"
"2018-03-28 01:03:00","1.204945","1.18","1.25","1.16","1.17","4191646.52"
"2018-03-29 01:03:00","1.105718","1.09","1.19","1.06","1.18","13044785.54"
"2018-03-30 01:03:00","1.082712","1.11","1.14","1.05","1.09","10606415.66"
"2018-03-31 01:03:00","1.106462","1.07","1.16","1.06","1.11","7346004.85"
"2018-04-01 01:04:00","1.001897","0.9871","1.09","0.94","1.07","11460934.47"
"2018-04-02 01:04:00","1.02272","1.03","1.06","0.9812","0.9871","5744555.65"
"2018-04-03 01:04:00","1.075004","1.11","1.12","1.03","1.03","6132185.67"
"2018-04-04 01:04:00","1.012984","0.9815","1.11","0.955","1.11","7253664.69"
"2018-04-05 01:04:00","0.960302","0.972","0.9942","0.925","0.9815","5348936.3"
"2018-04-06 01:04:00","0.946677","0.9316","0.995","0.915","0.972","3406180.19"
"2018-04-07 01:04:00","0.982927","0.9799","1.03","0.9264","0.9316","4004347.72"
